City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,ambon,-3.6954,128.1814,30.08,31,40,3.09,ID,1684971001
323,pontianak,-0.0333,109.3333,25.99,88,75,1.54,ID,1684971001
324,nuku'alofa,-21.1333,-175.2,25.19,69,75,2.06,TO,1684971002
325,wuhai,39.6647,106.8122,14.72,40,3,7.69,CN,1684971003
326,puerto armuelles,8.2833,-82.8667,28.99,85,93,3.92,PA,1684971003
327,stanley,54.868,-1.6985,12.1,83,93,0.05,GB,1684970893
328,tlaxcala,19.4167,-98.1667,16.81,58,100,2.87,MX,1684971004
329,boende,-0.2167,20.8667,23.43,81,65,1.03,CD,1684971005
330,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.03,GF,1684971005
331,olyokminsk,60.3736,120.4264,12.37,39,83,4.74,RU,1684971006
332,sinabang,2.4803,96.3801,26.56,82,87,1.14,ID,1684971006
333,zhaqsy,51.9083,67.3133,14.4,46,10,3.09,KZ,1684971007
334,ginir,7.1333,40.7,13.4,94,60,2.03,ET,1684971007
335,la mira,18.035,-102.3266,29.05,67,94,4.57,MX,1684971008
336,tocache,-8.1842,-76.5125,22.18,98,69,0.78,PE,1684971008
337,acajutla,13.5928,-89.8275,29.94,67,92,3.13,SV,1684970940
338,rongelap,11.1635,166.8941,27.79,79,100,6.96,MH,1684971008
339,wulingyuan,29.3494,110.5441,20.03,85,100,0.62,CN,1684971009
340,chabahar,25.2919,60.643,29.74,76,59,2.85,IR,1684971010
341,nantucket,41.2835,-70.0995,12.27,93,100,4.63,US,1684971010
342,flying fish cove,-10.4217,105.6791,25.82,88,100,5.14,CX,1684971011
343,igarka,67.4667,86.5833,0.53,81,26,3.15,RU,1684971011
344,jalalaqsi,3.3766,45.5996,24.21,82,63,3.08,SO,1684970739
345,lichtenburg,-26.152,26.1597,13.79,51,18,4.22,ZA,1684971011
346,bubaque,11.2833,-15.8333,27.84,71,100,7.59,GW,1684971012
347,saldanha,-33.0117,17.9442,13.03,92,100,9.54,ZA,1684971012
348,sumberpucung,-8.1586,112.4829,23.13,91,75,1.2,ID,1684971012
349,peace river,56.2501,-117.286,17.17,55,75,4.63,CA,1684971012
350,kavieng,-2.5744,150.7967,26.81,84,100,5.72,PG,1684971013
351,konarka,19.9,86.1167,30.22,87,8,6.35,IN,1684971013
352,kingston,17.997,-76.7936,29.53,79,20,3.6,JM,1684971013
353,mukalla,14.5425,49.1242,28.58,77,29,3.12,YE,1684971013
354,helena valley southeast,46.6153,-111.9216,18.21,67,100,2.06,US,1684971014
355,tangalle,6.024,80.7911,25.44,89,14,3.7,LK,1684971014
356,macapa,0.0389,-51.0664,27.99,89,40,2.57,BR,1684971014
357,callao,-12.0667,-77.15,24.29,73,0,5.66,PE,1684971015
358,katav-ivanovsk,54.7531,58.1956,13.83,57,23,1.5,RU,1684971015
359,ixtapa,20.7,-105.2,30.13,70,20,6.69,MX,1684971015
360,antigonish,45.6169,-61.9986,9.9,83,8,2.24,CA,1684970987
361,daru,-9.0763,143.2092,25.5,87,100,6.82,PG,1684971016
362,nizhnyaya omka,55.4338,74.9426,12.97,37,78,1.93,RU,1684971016
